(13, 27) (15, 24) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (40, 15) (-1, -1) (-1, -1) (-1, -1) (12, 27) (-1, -1) (12, 25) (-1, -1)
(13, 27) (-1, -1) (16, 22) (-1, -1) (-1, -1) (16, 27) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (12, 27) (-1, -1) (12, 25) (-1, -1)
(13, 27) (-1, -1) (16, 22) (-1, -1) (-1, -1) (16, 27) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (40, 20) (12, 27) (-1, -1) (12, 25) (-1, -1)
(13, 27) (16, 24) (16, 22) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (32, 19) (38, 15) (-1, -1) (33, 24) (40, 20) (12, 27) (-1, -1) (12, 25) (-1, -1)
(13, 27) (16, 23) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (32, 20) (-1, -1) (-1, -1) (-1, -1) (41, 21) (12, 27) (-1, -1) (12, 25) (-1, -1)
(13, 27) (15, 24) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (32, 21) (-1, -1) (12, 26) (-1, -1) (12, 24) (-1, -1)
(13, 27) (15, 24) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (40, 20) (-1, -1) (31, 21) (-1, -1) (12, 26) (-1, -1) (12, 24) (-1, -1)
(13, 27) (-1, -1) (16, 21) (-1, -1) (-1, -1) (16, 26) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (32, 22) (-1, -1) (12, 26) (-1, -1) (12, 24) (-1, -1)
(13, 27) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (32, 22) (-1, -1) (12, 26) (-1, -1) (12, 24) (-1, -1)
(12, 27) (15, 23) (16, 21) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (31, 22) (-1, -1) (12, 26) (-1, -1) (12, 24) (-1, -1)
(12, 27) (-1, -1) (15, 21) (-1, -1) (-1, -1) (16, 26) (-1, -1) (-1, -1) (-1, -1) (31, 23) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (12, 26) (-1, -1) (12, 24) (-1, -1)
(12, 26) (-1, -1) (15, 21) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (30, 23) (-1, -1) (11, 26) (-1, -1) (12, 24) (-1, -1)
(12, 26) (14, 23) (15, 21) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (11, 26) (-1, -1) (11, 24) (-1, -1)
(12, 26) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (30, 23) (-1, -1) (11, 26) (-1, -1) (12, 24) (-1, -1)
(12, 27) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (30, 23) (-1, -1) (12, 26) (-1, -1) (12, 24) (-1, -1)
(13, 26) (15, 23) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (12, 26) (-1, -1) (12, 24) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (12, 26) (-1, -1) (12, 24) (-1, -1)
(13, 27) (16, 23) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (13, 26) (-1, -1) (13, 24) (-1, -1)
(14, 27) (16, 24) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (31, 25) (-1, -1) (13, 26) (-1, -1) (14, 24) (-1, -1)
(14, 27) (-1, -1) (17, 22) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (31, 25) (-1, -1) (13, 26) (-1, -1) (14, 25) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (31, 25) (-1, -1) (13, 27) (-1, -1) (14, 25) (-1, -1)
(-1, -1) (17, 24) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (14, 27) (-1, -1) (14, 26) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (32, 27) (-1, -1) (-1, -1) (31, 25) (-1, -1) (-1, -1) (-1, -1) (14, 26) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (33, 27) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (14, 26) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (33, 28) (-1, -1) (-1, -1) (32, 25) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1)
(-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (33, 30) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1) (-1, -1)
